5,1954,赤組,4,菊池 章子,春の舞妓
5,1954,赤組,2,神楽坂 はん子,見ないで頂戴お月さま
5,1954,赤組,1,ペギー葉山,月光のチャペル
5,1954,赤組,4,松島 詩子,スペインの恋唄
5,1954,赤組,1,長門 美保,松島音頭
5,1954,赤組,2,淡谷 のり子,枯葉
5,1954,赤組,1,美空 ひばり,ひばりのマドロスさん
5,1954,赤組,5,二葉 あき子,パダム・パダム
5,1954,赤組,4,渡辺 はま子,東京の薔薇
5,1954,白組,4,岡本 敦郎,高原列車は行く
5,1954,白組,2,真木 不二夫,山の呼ぶ声母の声
5,1954,白組,2,浜口 庫之助,セントルイス・ブルース・マンボ
5,1954,白組,1,河野 ヨシユキ,キツツキの赤いトランク
5,1954,白組,5,藤山 一郎,ケンタッキーの我が家
5,1954,白組,2,高 英男,ロマンス
5,1954,白組,4,津村 謙,待ちましょう
5,1954,白組,1,春日 八郎,お富さん
5,1954,白組,2,笈田 敏夫,愛の泉
5,1954,白組,4,近江 俊郎,忘れないよ
5,1954,白組,1,藤原 義江,鉾をおさめて
5,1954,白組,4,伊藤 久男,数寄屋橋エレジー
5,1954,白組,2,小畑 実,長崎の街角で
5,1954,白組,3,ディック・ミネ,雨の酒場で
5,1954,白組,3,霧島 昇,石狩エレジー
6,1955,赤組,2,荒井 恵子,希望をのせて馬車は行く
6,1955,赤組,1,宝 とも子,インディアン・ラブコール
6,1955,赤組,2,織井 茂子,黒百合の歌
6,1955,赤組,3,赤坂 小梅,おてもやん
6,1955,赤組,2,川田 孝子,狩勝の美少年
6,1955,赤組,1,大谷 冽子,チリビリビン
6,1955,赤組,2,ペギー葉山,マンボ・イタリアーノ
6,1955,赤組,5,菊池 章子,岸壁の母
6,1955,赤組,2,宮城 まり子,ガード下の靴みがき
6,1955,赤組,4,池 真理子,あなたがくれたオルゴール
6,1955,赤組,2,小唄 勝太郎,お染
6,1955,赤組,2,長門 美保,ハバネラ
6,1955,赤組,3,江利 チエミ,裏町のお転婆娘
6,1955,赤組,4,奈良 光枝,由起子はいつも
6,1955,赤組,5,松島 詩子,夕月の丘
6,1955,赤組,6,二葉 あき子,バラのルムバ
6,1955,白組,5,鶴田 六郎,天下の為さん
6,1955,白組,3,浜口 庫之助,インディアン・ラブコール
6,1955,白組,1,三浦 洸一,落葉しぐれ
6,1955,白組,4,鈴木 正夫,相馬盆唄
6,1955,白組,2,河野 ヨシユキ,街のヨーデル唄い
6,1955,白組,1,柴田 睦陸,ラ・クンパルシータ
6,1955,白組,3,笈田 敏夫,恋とは素晴らしいもの
6,1955,白組,5,林 伊佐緒,高原の宿
6,1955,白組,5,岡本 敦郎,リラの花咲く頃
6,1955,白組,3,真木 不二夫,空が晴れたら
6,1955,白組,2,東海林 太郎,義経の唄
6,1955,白組,2,藤原 義江,女心の歌
6,1955,白組,1,芦野 宏,タブー
6,1955,白組,5,津村 謙,あなたと共に
6,1955,白組,4,ディック・ミネ,ダイナ
6,1955,白組,6,藤山 一郎,ニコライの鐘
7,1956,赤組,3,荒井 恵子,南の花嫁さん
7,1956,赤組,1,照菊,恋のまよい鳥
7,1956,赤組,6,松島 詩子,夜のヴァイオリン
7,1956,赤組,4,赤坂 小梅,三池炭坑節
7,1956,赤組,4,菅原 都々子,連絡船の唄
7,1956,赤組,1,生田 恵子,アイ・アイ・バンジョー
7,1956,赤組,2,宝 とも子,セ・シ・ボン
7,1956,赤組,3,淡谷 のり子,ルムバ・タムバ
7,1956,赤組,4,江利 チエミ,お転婆キキ
7,1956,赤組,7,二葉 あき子,忘れじの君いづこ
7,1956,赤組,5,池 真理子,どうして嫌と云えましょう
7,1956,赤組,3,ペギー葉山,ケ・セラ・セラ
7,1956,赤組,1,西村 つた江,横浜(ハマ)の谷間
7,1956,赤組,1,吉岡 妙子,私の幸福はどこへ
7,1956,赤組,1,中原 美紗緒,フルフル
7,1956,赤組,3,小唄 勝太郎,唐人お吉の唄
7,1956,赤組,1,鈴木 三重子,愛ちゃんはお嫁に
7,1956,赤組,5,奈良 光枝,白いランプの灯る道
7,1956,赤組,2,越路 吹雪,哀れなジャン
7,1956,赤組,1,大津 美子,東京アンナ
7,1956,赤組,1,コロムビア・ローズ,娘艶歌師
7,1956,赤組,5,渡辺 はま子,桑港のチャイナタウン
7,1956,赤組,3,宮城 まり子,屑屋の娘
7,1956,赤組,4,笠置 シヅ子,ヘイ・ヘイ・ブギ
7,1956,白組,6,岡本 敦郎,自転車旅行
7,1956,白組,2,瀬川 伸,明星鴉
7,1956,白組,4,霧島 昇,恋に朽ちなん
7,1956,白組,5,鈴木 正夫,常磐炭坑節
7,1956,白組,3,宇都美 清,青い灯赤い灯
7,1956,白組,6,林 伊佐緒,草原をゆく男
7,1956,白組,3,高 英男,セ・シ・ボン
7,1956,白組,5,ディック・ミネ,私の青空
7,1956,白組,1,三橋 美智也,哀愁列車
7,1956,白組,7,藤山 一郎,あゝ牧場は緑
7,1956,白組,6,津村 謙,青春の街
7,1956,白組,4,笈田 敏夫,ハイ・ソサエティ・カリプソ
7,1956,白組,1,山形 英夫,港の人気者
7,1956,白組,4,真木 不二夫,旅路の雨
7,1956,白組,1,旗 照夫,恋とは素晴らしいもの
7,1956,白組,3,東海林 太郎,赤城の子守唄
7,1956,白組,1,若原 一郎,風の吹きよで
7,1956,白組,5,近江 俊郎,想い出月夜
7,1956,白組,2,芦野 宏,ドミノ
7,1956,白組,1,曾根 史郎,若いお巡りさん
7,1956,白組,1,小坂 一也,ハート・ブレークホテル
7,1956,白組,1,藤島 桓夫,かえりの港
7,1956,白組,5,伊藤 久男,キャラバンの太鼓
7,1956,白組,2,春日 八郎,別れの一本杉
7,1956,白組,4,灰田 勝彦,白銀の山小舎で
8,1957,赤組,1,楠 トシエ,お花どん
8,1957,赤組,2,久慈 あさみ,デッカメン・ソロ
8,1957,赤組,1,松山 恵子,未練の波止場
8,1957,赤組,1,藤沢 嵐子,さらば草原よ
